# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "-a" "analyse/03_annotation/prokka_output/E745.gff" "-o" "analyse/07_rnaseq_counts/gene_counts.txt" "analyse/06_rnaseq_mapping/ERR1797969.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797970.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797971.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797972.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797973.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797974.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyse/06_rnaseq_mapping/ERR1797969.sorted.bam	analyse/06_rnaseq_mapping/ERR1797970.sorted.bam	analyse/06_rnaseq_mapping/ERR1797971.sorted.bam	analyse/06_rnaseq_mapping/ERR1797972.sorted.bam	analyse/06_rnaseq_mapping/ERR1797973.sorted.bam	analyse/06_rnaseq_mapping/ERR1797974.sorted.bam
OMENCOFM_00714	CP014529.1	738310	739587	+	1278	42	58	73	72	72	84
OMENCOFM_00715	CP014529.1	739650	742352	+	2703	48	93	70	56	30	64
OMENCOFM_00716	CP014529.1	742504	742821	+	318	54	73	72	2	4	2
OMENCOFM_00717	CP014529.1	742851	743171	+	321	73	140	168	4	2	0
OMENCOFM_00718	CP014529.1	743279	744739	+	1461	115	107	170	4	2	2
OMENCOFM_00719	CP014529.1	744807	745028	+	222	2	2	2	0	0	0
OMENCOFM_00720	CP014529.1	745059	745241	+	183	5	0	6	0	0	0
OMENCOFM_00721	CP014529.1	745241	745654	+	414	2	3	2	0	0	0
OMENCOFM_00722	CP014529.1	745777	746958	+	1182	8	8	12	0	14	10
OMENCOFM_00723	CP014529.1	747029	747193	-	165	18	60	34	10	5	10
OMENCOFM_00725	CP014529.1	747489	748628	-	1140	12	20	18	6	12	14
OMENCOFM_00726	CP014529.1	748800	748934	+	135	0	10	11	2	5	2
OMENCOFM_00727	CP014529.1	748927	749562	-	636	8	11	10	14	8	14
OMENCOFM_00728	CP014529.1	749675	750310	-	636	14	21	16	25	26	26
OMENCOFM_00729	CP014529.1	750344	750805	-	462	2	4	4	6	7	4
OMENCOFM_00730	CP014529.1	750935	751366	-	432	9	4	10	15	8	10
OMENCOFM_00731	CP014529.1	751384	751704	-	321	25	31	25	16	41	22
OMENCOFM_00732	CP014529.1	752003	752779	+	777	31	41	46	6	2	4
OMENCOFM_00733	CP014529.1	752794	752997	+	204	5	9	4	0	0	0
OMENCOFM_00734	CP014529.1	753013	753351	+	339	25	23	12	6	3	2
OMENCOFM_00735	CP014529.1	753338	753517	+	180	4	7	3	0	0	0
OMENCOFM_00736	CP014529.1	753560	754063	-	504	26	31	26	2	10	2
OMENCOFM_00737	CP014529.1	754117	754815	+	699	20	19	11	1	0	4
OMENCOFM_00738	CP014529.1	754993	755334	+	342	10	5	12	0	0	2
OMENCOFM_00739	CP014529.1	755327	755998	+	672	52	57	46	2	5	3
OMENCOFM_00740	CP014529.1	756004	756690	+	687	9	10	6	0	2	6
OMENCOFM_00741	CP014529.1	756693	757442	+	750	16	27	28	1	4	4
OMENCOFM_00742	CP014529.1	757454	757723	+	270	0	3	0	0	0	0
OMENCOFM_00743	CP014529.1	757728	757892	+	165	1	2	4	0	0	0
OMENCOFM_00744	CP014529.1	757885	758187	+	303	5	7	7	4	2	0
OMENCOFM_00745	CP014529.1	758184	758345	+	162	3	1	0	0	3	3
OMENCOFM_00746	CP014529.1	758348	758647	+	300	6	2	2	1	0	0
OMENCOFM_00747	CP014529.1	758647	759003	+	357	11	15	7	4	9	1
OMENCOFM_00748	CP014529.1	758963	759208	+	246	8	10	3	2	2	3
OMENCOFM_00749	CP014529.1	759205	759624	+	420	10	12	8	2	1	1
OMENCOFM_00750	CP014529.1	759621	760178	+	558	20	16	23	6	2	3
OMENCOFM_00751	CP014529.1	760175	760471	+	297	8	18	13	4	0	1
OMENCOFM_00752	CP014529.1	760548	760961	+	414	31	20	19	6	2	3
OMENCOFM_00753	CP014529.1	761270	761422	+	153	3	2	3	0	0	0
OMENCOFM_00754	CP014529.1	761419	761694	-	276	0	3	5	6	5	10
OMENCOFM_00755	CP014529.1	762550	762717	+	168	0	2	2	2	0	0
OMENCOFM_00756	CP014529.1	762743	763087	+	345	0	0	0	0	2	3
OMENCOFM_00757	CP014529.1	763092	763373	+	282	2	2	0	0	0	0
OMENCOFM_00758	CP014529.1	763476	763790	+	315	0	5	0	0	0	0
OMENCOFM_00759	CP014529.1	763768	765462	+	1695	5	7	14	0	0	0
OMENCOFM_00760	CP014529.1	765482	766660	+	1179	6	6	10	2	2	0
OMENCOFM_00761	CP014529.1	766623	767309	+	687	9	6	4	0	0	2
OMENCOFM_00762	CP014529.1	767309	768469	+	1161	4	16	9	0	2	0
OMENCOFM_00763	CP014529.1	768479	769354	+	876	4	8	2	0	0	1
OMENCOFM_00764	CP014529.1	769351	769662	+	312	5	0	0	0	0	0
OMENCOFM_00765	CP014529.1	769652	770005	+	354	4	0	0	0	0	0
OMENCOFM_00766	CP014529.1	769995	770396	+	402	0	0	1	0	0	0
OMENCOFM_00767	CP014529.1	770380	770793	+	414	9	6	2	0	0	0
OMENCOFM_00768	CP014529.1	770805	771413	+	609	7	4	4	0	0	0
OMENCOFM_00769	CP014529.1	771433	771795	+	363	1	0	2	0	0	0
OMENCOFM_00770	CP014529.1	771997	775428	+	3432	18	28	20	0	2	4
OMENCOFM_00771	CP014529.1	775514	776809	-	1296	0	6	4	4	0	2
OMENCOFM_00772	CP014529.1	777001	777738	+	738	0	4	2	0	0	0
OMENCOFM_00773	CP014529.1	777748	780039	+	2292	8	6	2	0	2	2
OMENCOFM_00774	CP014529.1	780063	782189	+	2127	14	12	8	3	8	2
OMENCOFM_00775	CP014529.1	782352	782798	+	447	10	6	4	1	1	0
OMENCOFM_00776	CP014529.1	782800	782937	+	138	1	3	2	0	1	0
OMENCOFM_00777	CP014529.1	782975	783268	+	294	2	1	6	0	0	0
OMENCOFM_00778	CP014529.1	783265	783489	+	225	4	2	0	0	0	2
OMENCOFM_00779	CP014529.1	783486	784511	+	1026	0	7	2	0	0	0
OMENCOFM_00781	CP014529.1	785451	785741	+	291	27	36	26	15	12	17
OMENCOFM_00782	CP014529.1	785777	786613	+	837	56	48	81	22	23	23
OMENCOFM_00783	CP014529.1	786698	787192	-	495	2	4	2	4	2	6
OMENCOFM_00784	CP014529.1	787536	787943	+	408	79	100	63	74	43	60
OMENCOFM_00785	CP014529.1	787957	788358	+	402	18	14	10	4	18	18
OMENCOFM_00786	CP014529.1	788360	788731	+	372	51	45	48	61	39	35
OMENCOFM_00787	CP014529.1	788767	789066	-	300	8	1	2	0	2	6
OMENCOFM_00788	CP014529.1	789081	789302	-	222	0	1	0	2	3	2
OMENCOFM_00789	CP014529.1	789922	791109	+	1188	11	6	6	6	8	5
OMENCOFM_00790	CP014529.1	791453	791725	+	273	0	0	0	0	2	0
OMENCOFM_00791	CP014529.1	791740	792663	+	924	13	10	5	8	2	2
OMENCOFM_00792	CP014529.1	792803	793555	-	753	6	14	12	14	16	7
OMENCOFM_00793	CP014529.1	793778	794140	+	363	6	10	12	12	6	16
OMENCOFM_00794	CP014529.1	794777	796249	+	1473	77	99	55	129	117	131
OMENCOFM_00795	CP014529.1	796261	797085	+	825	92	137	120	115	126	93
OMENCOFM_00796	CP014529.1	797158	798048	-	891	8	8	4	6	4	6
OMENCOFM_00797	CP014529.1	798246	799763	+	1518	2	2	0	2	0	0
OMENCOFM_00798	CP014529.1	799753	801024	+	1272	0	0	0	0	2	0
OMENCOFM_00799	CP014529.1	801199	802095	+	897	0	0	0	2	0	0
OMENCOFM_00800	CP014529.1	802109	802972	+	864	4	0	2	0	0	0
OMENCOFM_00801	CP014529.1	802978	803541	+	564	0	0	0	0	2	0
OMENCOFM_00802	CP014529.1	803563	805074	+	1512	4	10	2	4	0	6
OMENCOFM_00803	CP014529.1	805086	806045	+	960	10	2	2	4	2	6
OMENCOFM_00804	CP014529.1	806131	807210	+	1080	10	23	12	14	10	14
OMENCOFM_00805	CP014529.1	807462	808862	-	1401	0	12	2	2	2	2
OMENCOFM_00806	CP014529.1	809080	810741	+	1662	2	0	0	0	2	0
OMENCOFM_00807	CP014529.1	810698	811396	+	699	0	0	0	0	0	0
OMENCOFM_00808	CP014529.1	811412	812836	+	1425	0	2	2	0	0	2
OMENCOFM_00809	CP014529.1	813143	814303	+	1161	9	4	4	4	11	2
OMENCOFM_00810	CP014529.1	814421	816280	+	1860	30	42	24	16	19	18
OMENCOFM_00811	CP014529.1	816390	816824	+	435	8	23	21	26	21	14
OMENCOFM_00812	CP014529.1	817083	817244	-	162	3	4	3	2	5	1
OMENCOFM_00813	CP014529.1	817263	818285	-	1023	12	20	21	16	18	19
OMENCOFM_00814	CP014529.1	818413	818766	+	354	16	34	32	11	36	22
OMENCOFM_00815	CP014529.1	818778	819944	+	1167	68	96	57	23	36	23
OMENCOFM_00816	CP014529.1	820036	820656	-	621	14	22	16	72	66	78
OMENCOFM_00817	CP014529.1	820848	821144	-	297	2	2	4	6	0	0
OMENCOFM_00818	CP014529.1	821348	821998	+	651	0	4	6	17	6	4
OMENCOFM_00819	CP014529.1	822014	823741	+	1728	3	6	15	19	36	25
OMENCOFM_00820	CP014529.1	823738	823992	+	255	2	2	0	0	2	3
OMENCOFM_00821	CP014529.1	823992	825629	+	1638	16	14	12	28	30	32
OMENCOFM_00822	CP014529.1	826333	827202	+	870	87	88	75	50	44	60
OMENCOFM_00823	CP014529.1	827411	828436	+	1026	14	12	10	22	18	14
OMENCOFM_00824	CP014529.1	828475	829425	+	951	72	103	76	61	96	84
OMENCOFM_00825	CP014529.1	829561	829911	+	351	2	3	6	0	0	0
OMENCOFM_00826	CP014529.1	829908	831227	+	1320	16	12	2	8	6	6
OMENCOFM_00827	CP014529.1	831229	833262	+	2034	4	0	0	6	1	2
OMENCOFM_00828	CP014529.1	833273	833713	+	441	4	2	2	0	0	0
OMENCOFM_00829	CP014529.1	833913	835040	-	1128	0	0	0	2	0	0
OMENCOFM_00830	CP014529.1	835043	835720	-	678	0	0	0	0	0	0
OMENCOFM_00831	CP014529.1	835984	837750	+	1767	2	2	2	0	0	0
OMENCOFM_00832	CP014529.1	837765	838202	+	438	0	0	0	0	0	0
OMENCOFM_00833	CP014529.1	838215	839366	+	1152	0	0	0	2	2	0
OMENCOFM_00834	CP014529.1	839428	840126	-	699	18	25	32	53	57	38
OMENCOFM_00835	CP014529.1	840119	841471	-	1353	25	27	25	55	55	55
OMENCOFM_00836	CP014529.1	841694	843094	-	1401	12	30	20	10	6	12
OMENCOFM_00837	CP014529.1	843255	843992	+	738	10	11	20	12	10	11
OMENCOFM_00838	CP014529.1	844117	844596	+	480	78	82	58	40	47	58
OMENCOFM_00839	CP014529.1	844593	845360	+	768	56	85	75	45	54	51
OMENCOFM_00840	CP014529.1	845590	846159	+	570	10	32	18	8	16	16
OMENCOFM_00841	CP014529.1	846263	846865	-	603	43	32	40	34	38	34
OMENCOFM_00842	CP014529.1	846971	847201	+	231	0	1	3	5	0	1
OMENCOFM_00843	CP014529.1	847192	847440	+	249	4	4	4	0	0	1
OMENCOFM_00844	CP014529.1	847534	848130	+	597	12	19	20	49	49	48
OMENCOFM_00845	CP014529.1	848133	849206	+	1074	48	63	56	119	125	93
OMENCOFM_00846	CP014529.1	849199	850038	+	840	18	18	19	38	33	33
OMENCOFM_00847	CP014529.1	850232	851257	+	1026	11	16	15	46	38	56
OMENCOFM_00848	CP014529.1	851254	851415	+	162	10	3	4	5	4	14
OMENCOFM_00849	CP014529.1	851432	852676	+	1245	120	218	171	130	101	104
OMENCOFM_00850	CP014529.1	852829	853776	+	948	132	140	116	39	50	34
OMENCOFM_00851	CP014529.1	853910	854539	+	630	91	73	112	80	78	54
OMENCOFM_00852	CP014529.1	854678	854920	-	243	26	53	40	6	8	17
OMENCOFM_00854	CP014529.1	855232	855870	-	639	38	40	56	10	15	10
OMENCOFM_00855	CP014529.1	855993	856625	-	633	0	0	0	0	4	4
OMENCOFM_00856	CP014529.1	856976	857275	+	300	7	6	12	10	6	0
OMENCOFM_00857	CP014529.1	857770	859935	+	2166	46	66	44	142	141	131
OMENCOFM_00858	CP014529.1	860207	860692	-	486	6	12	5	10	2	1
OMENCOFM_00859	CP014529.1	861172	861813	+	642	2	5	3	4	5	5
OMENCOFM_00860	CP014529.1	861832	862467	+	636	1	5	1	8	6	1
OMENCOFM_00861	CP014529.1	862485	863300	+	816	6	12	2	20	18	16
OMENCOFM_00862	CP014529.1	863619	865055	+	1437	48	44	36	34	20	32
OMENCOFM_00863	CP014529.1	865244	867691	+	2448	104	118	96	134	198	122
OMENCOFM_00864	CP014529.1	867921	868988	+	1068	16	24	34	78	76	74
OMENCOFM_00865	CP014529.1	869181	870284	-	1104	57	84	108	16	6	4
OMENCOFM_00866	CP014529.1	870837	871385	+	549	4	4	2	4	4	6
OMENCOFM_00867	CP014529.1	871931	873592	+	1662	2566	2958	2711	45	25	14
OMENCOFM_00868	CP014529.1	873662	874009	-	348	129	158	172	0	0	4
OMENCOFM_00869	CP014529.1	874093	875034	+	942	238	304	259	4	2	2
OMENCOFM_00870	CP014529.1	875035	876078	+	1044	185	251	280	0	6	10
OMENCOFM_00871	CP014529.1	876084	877154	+	1071	448	509	473	12	9	10
OMENCOFM_00872	CP014529.1	877144	878097	+	954	396	498	341	8	8	9
OMENCOFM_00873	CP014529.1	878109	879119	+	1011	602	645	553	31	14	10
OMENCOFM_00874	CP014529.1	879404	880225	-	822	80	92	95	60	55	54
OMENCOFM_00875	CP014529.1	880322	880600	-	279	8	2	15	4	13	2
OMENCOFM_00876	CP014529.1	880868	882877	+	2010	252	301	254	468	382	390
OMENCOFM_00877	CP014529.1	883356	883943	-	588	4	16	10	8	11	8
OMENCOFM_00878	CP014529.1	884118	885440	+	1323	35	24	24	52	43	62
OMENCOFM_00879	CP014529.1	885595	886371	+	777	14	13	12	30	23	16
OMENCOFM_00880	CP014529.1	886364	886933	+	570	15	20	21	20	23	30
OMENCOFM_00881	CP014529.1	886926	887810	+	885	22	18	22	58	67	64
OMENCOFM_00882	CP014529.1	888261	888890	+	630	313	428	369	2	8	12
OMENCOFM_00883	CP014529.1	889014	890123	-	1110	44	63	44	12	14	14
OMENCOFM_00884	CP014529.1	890332	890754	+	423	8	12	4	2	2	1
OMENCOFM_00885	CP014529.1	891077	891613	+	537	2451	2338	2523	215	187	172
OMENCOFM_00886	CP014529.1	891653	893416	-	1764	34	40	42	36	34	34
OMENCOFM_00887	CP014529.1	893419	895134	-	1716	30	34	38	58	58	38
OMENCOFM_00888	CP014529.1	895913	896137	-	225	0	0	0	0	0	2
OMENCOFM_00889	CP014529.1	896337	899105	+	2769	0	0	2	2	4	2
OMENCOFM_00890	CP014529.1	899186	899605	+	420	0	0	2	0	0	0
OMENCOFM_00891	CP014529.1	899617	900087	+	471	0	4	6	0	0	0
OMENCOFM_00892	CP014529.1	900104	900883	+	780	2	0	0	0	0	0
OMENCOFM_00893	CP014529.1	900870	901691	+	822	0	0	0	0	0	0
OMENCOFM_00894	CP014529.1	901708	902757	+	1050	0	0	0	2	0	0
OMENCOFM_00895	CP014529.1	902770	903774	+	1005	2	2	0	0	0	0
OMENCOFM_00896	CP014529.1	904407	905426	+	1020	50	42	66	59	68	50
OMENCOFM_00897	CP014529.1	905592	906842	-	1251	23	16	12	3	14	20
OMENCOFM_00898	CP014529.1	907252	908133	+	882	47	76	60	48	46	56
OMENCOFM_00899	CP014529.1	908433	908810	+	378	16	6	8	4	10	8
OMENCOFM_00900	CP014529.1	909416	910030	+	615	0	0	0	2	2	0
OMENCOFM_00901	CP014529.1	910803	912542	+	1740	126	139	128	166	209	157
OMENCOFM_00902	CP014529.1	912699	913883	+	1185	72	91	64	130	109	113
OMENCOFM_00903	CP014529.1	913994	914197	+	204	345	351	329	57	45	52
OMENCOFM_00904	CP014529.1	914298	914960	-	663	0	2	0	0	2	0
OMENCOFM_00905	CP014529.1	914973	916475	-	1503	0	0	0	2	0	0
OMENCOFM_00906	CP014529.1	917023	918702	+	1680	294	344	338	246	330	218
OMENCOFM_00907	CP014529.1	918832	919308	+	477	0	2	2	4	0	0
OMENCOFM_00908	CP014529.1	919527	920207	+	681	36	25	42	24	23	14
OMENCOFM_00909	CP014529.1	920215	921546	+	1332	20	34	35	37	27	13
OMENCOFM_00910	CP014529.1	921561	922523	+	963	39	38	44	36	47	41
OMENCOFM_00911	CP014529.1	922634	922972	+	339	61	78	55	121	108	55
OMENCOFM_00912	CP014529.1	923051	923758	+	708	140	108	125	141	80	117
OMENCOFM_00913	CP014529.1	923861	925342	-	1482	2	0	2	4	2	2
OMENCOFM_00914	CP014529.1	925654	926187	+	534	0	0	0	4	4	2
OMENCOFM_00915	CP014529.1	926265	927635	+	1371	12	3	16	34	37	36
OMENCOFM_00916	CP014529.1	927702	928037	+	336	106	125	85	13	22	36
OMENCOFM_00917	CP014529.1	928118	928975	-	858	4	6	8	2	5	8
OMENCOFM_00918	CP014529.1	929082	929597	+	516	2	6	6	30	21	26
OMENCOFM_00919	CP014529.1	929691	929945	+	255	2	0	2	0	2	0
OMENCOFM_00920	CP014529.1	929914	931299	+	1386	22	22	18	10	19	22
OMENCOFM_00921	CP014529.1	931336	932013	+	678	24	34	29	79	63	40
OMENCOFM_00922	CP014529.1	932021	932785	+	765	51	56	61	60	60	66
OMENCOFM_00923	CP014529.1	932787	933446	+	660	16	21	13	27	22	26
OMENCOFM_00924	CP014529.1	933476	933985	-	510	24	22	18	12	5	7
OMENCOFM_00925	CP014529.1	934097	935095	-	999	16	28	22	10	7	7
OMENCOFM_00926	CP014529.1	935296	935880	+	585	70	118	68	174	148	116
OMENCOFM_00927	CP014529.1	935957	937132	-	1176	16	22	18	24	26	26
OMENCOFM_00928	CP014529.1	937214	937594	+	381	2	7	12	14	19	22
OMENCOFM_00929	CP014529.1	937668	938030	+	363	192	265	210	47	45	48
OMENCOFM_00934	CP014529.1	944204	945040	-	837	3	3	0	1	2	0
OMENCOFM_00935	CP014529.1	945076	945366	-	291	2	2	4	3	1	0
OMENCOFM_00936	CP014529.1	945575	945949	+	375	14	16	20	2	0	4
OMENCOFM_00937	CP014529.1	946063	946692	-	630	3	6	4	0	0	4
OMENCOFM_00940	CP014529.1	947323	947487	-	165	22	10	10	4	2	4
OMENCOFM_00941	CP014529.1	947782	949110	+	1329	186	273	220	44	36	42
OMENCOFM_00942	CP014529.1	949312	950145	+	834	7	10	13	10	12	4
OMENCOFM_00943	CP014529.1	950161	950898	+	738	22	17	22	26	21	23
OMENCOFM_00944	CP014529.1	951053	952021	-	969	16	14	16	49	32	31
OMENCOFM_00945	CP014529.1	952253	953086	+	834	43	41	24	28	25	21
OMENCOFM_00946	CP014529.1	953120	953959	+	840	35	65	34	25	31	13
OMENCOFM_00947	CP014529.1	953985	954545	+	561	29	38	45	15	24	22
OMENCOFM_00948	CP014529.1	954744	956465	+	1722	389	425	384	689	649	668
OMENCOFM_00949	CP014529.1	956630	957772	+	1143	23	30	20	66	42	24
OMENCOFM_00950	CP014529.1	957788	958999	+	1212	45	79	58	102	73	81
OMENCOFM_00951	CP014529.1	959572	960219	+	648	14	12	10	0	0	0
OMENCOFM_00952	CP014529.1	960612	963257	+	2646	174	182	179	371	405	411
OMENCOFM_00953	CP014529.1	963567	964880	+	1314	56	46	46	44	71	57
OMENCOFM_00954	CP014529.1	964870	965523	+	654	24	34	20	29	27	15
OMENCOFM_00955	CP014529.1	965578	966270	+	693	0	0	4	5	8	10
OMENCOFM_00956	CP014529.1	966420	966620	+	201	499	609	539	787	791	695
OMENCOFM_00957	CP014529.1	966874	968553	-	1680	171	188	179	262	272	231
OMENCOFM_00958	CP014529.1	968555	968767	-	213	19	28	25	43	68	52
OMENCOFM_00959	CP014529.1	969160	970890	+	1731	14	48	26	33	38	60
OMENCOFM_00960	CP014529.1	970887	972647	+	1761	30	46	64	76	75	62
OMENCOFM_00961	CP014529.1	972742	972939	+	198	17	20	22	5	16	18
OMENCOFM_00962	CP014529.1	973092	973577	+	486	6	16	16	18	13	4
OMENCOFM_00963	CP014529.1	973681	974274	-	594	40	26	37	90	79	64
OMENCOFM_00964	CP014529.1	974454	974981	+	528	12	8	20	31	18	26
OMENCOFM_00965	CP014529.1	975072	975809	+	738	6	9	14	23	20	29
OMENCOFM_00966	CP014529.1	975813	976730	+	918	22	32	37	15	27	22
OMENCOFM_00967	CP014529.1	976732	977961	+	1230	65	66	43	41	66	36
OMENCOFM_00968	CP014529.1	977995	978948	-	954	7	10	12	5	4	0
OMENCOFM_00969	CP014529.1	979599	981212	-	1614	17	28	26	2	4	13
OMENCOFM_00970	CP014529.1	981353	982252	-	900	2	0	8	4	0	2
OMENCOFM_00971	CP014529.1	982444	983568	+	1125	0	0	0	2	2	0
OMENCOFM_00972	CP014529.1	983795	984712	+	918	0	0	2	0	0	0
OMENCOFM_00973	CP014529.1	984705	985538	+	834	0	0	0	0	2	6
OMENCOFM_00974	CP014529.1	985621	986739	+	1119	0	4	2	6	7	0
OMENCOFM_00975	CP014529.1	986760	988631	+	1872	2	2	3	2	0	0
OMENCOFM_00976	CP014529.1	988646	989848	+	1203	2	6	7	2	0	0
OMENCOFM_00977	CP014529.1	989934	991868	-	1935	56	120	86	58	79	52
OMENCOFM_00978	CP014529.1	992094	992750	+	657	44	68	64	78	98	64
OMENCOFM_00979	CP014529.1	992824	993177	-	354	10	10	8	6	0	2
OMENCOFM_00980	CP014529.1	993369	994298	+	930	0	2	0	2	1	0
OMENCOFM_00981	CP014529.1	994309	995145	+	837	4	0	4	4	3	0
OMENCOFM_00982	CP014529.1	995393	996169	+	777	0	0	0	0	0	0
OMENCOFM_00983	CP014529.1	996345	997088	+	744	7	8	4	2	6	0
OMENCOFM_00984	CP014529.1	997081	998661	+	1581	6	10	12	2	6	18
OMENCOFM_00985	CP014529.1	998912	999391	-	480	8	4	12	6	4	4
OMENCOFM_00986	CP014529.1	999407	1000159	-	753	23	20	16	21	14	15
OMENCOFM_00988	CP014529.1	1000707	1001432	+	726	20	18	12	81	72	63
OMENCOFM_00989	CP014529.1	1001687	1001953	+	267	154	141	137	67	61	56
OMENCOFM_00990	CP014529.1	1001950	1002381	+	432	275	312	325	122	101	112
OMENCOFM_00991	CP014529.1	1002406	1002711	+	306	320	382	341	141	134	116
OMENCOFM_00992	CP014529.1	1002792	1003937	-	1146	48	52	40	32	28	26
OMENCOFM_00993	CP014529.1	1003998	1004645	-	648	12	16	24	20	10	18
OMENCOFM_00994	CP014529.1	1004839	1005132	+	294	2	0	0	0	0	0
OMENCOFM_00995	CP014529.1	1005176	1005487	+	312	0	1	0	0	0	0
OMENCOFM_00996	CP014529.1	1005484	1005723	+	240	0	0	0	0	0	2
OMENCOFM_00997	CP014529.1	1005704	1006108	+	405	0	0	0	0	0	0
OMENCOFM_00998	CP014529.1	1006249	1006407	+	159	0	0	0	0	0	0
OMENCOFM_00999	CP014529.1	1006408	1006770	+	363	0	0	0	0	0	0
OMENCOFM_01000	CP014529.1	1006807	1007655	+	849	0	0	0	0	0	0
OMENCOFM_01001	CP014529.1	1007645	1009120	+	1476	4	4	0	4	6	8
OMENCOFM_01002	CP014529.1	1009386	1009793	+	408	0	2	2	0	0	2
OMENCOFM_01003	CP014529.1	1009796	1010011	+	216	0	1	0	0	0	0
OMENCOFM_01004	CP014529.1	1010753	1011226	+	474	0	0	0	0	0	0
OMENCOFM_01005	CP014529.1	1011223	1012917	+	1695	0	0	0	2	2	0
OMENCOFM_01006	CP014529.1	1012883	1013068	+	186	0	0	1	2	2	0
OMENCOFM_01007	CP014529.1	1013072	1014247	+	1176	4	2	0	0	1	0
OMENCOFM_01008	CP014529.1	1014240	1015763	+	1524	0	5	4	10	4	8
OMENCOFM_01009	CP014529.1	1015819	1016103	+	285	0	1	0	0	6	2
OMENCOFM_01010	CP014529.1	1016090	1016425	+	336	0	0	0	0	0	0
OMENCOFM_01011	CP014529.1	1016720	1017346	+	627	22	40	35	41	54	50
OMENCOFM_01012	CP014529.1	1018088	1018924	+	837	6	6	7	8	2	5
OMENCOFM_01013	CP014529.1	1019001	1019423	+	423	7	16	21	14	4	8
OMENCOFM_01014	CP014529.1	1019491	1020813	-	1323	0	0	0	0	4	0
OMENCOFM_01015	CP014529.1	1020967	1022607	-	1641	2	2	0	0	0	0
OMENCOFM_01016	CP014529.1	1022937	1023407	+	471	13	8	8	6	8	4
OMENCOFM_01017	CP014529.1	1024036	1025139	+	1104	10	2	16	6	0	4
OMENCOFM_01018	CP014529.1	1025423	1026103	+	681	0	0	0	0	0	0
OMENCOFM_01019	CP014529.1	1026193	1027227	+	1035	0	0	0	0	0	0
OMENCOFM_01020	CP014529.1	1027241	1027576	+	336	0	0	0	0	2	0
OMENCOFM_01021	CP014529.1	1027560	1030040	+	2481	4	2	6	10	10	4
OMENCOFM_01022	CP014529.1	1030147	1031655	+	1509	16	20	4	8	18	7
OMENCOFM_01023	CP014529.1	1031652	1033016	+	1365	10	6	6	10	18	10
OMENCOFM_01024	CP014529.1	1033187	1034257	+	1071	6	10	6	18	10	9
OMENCOFM_01025	CP014529.1	1034272	1034940	+	669	14	5	4	9	4	3
OMENCOFM_01026	CP014529.1	1034960	1035538	+	579	11	11	2	14	16	17
OMENCOFM_01027	CP014529.1	1035941	1036852	+	912	4	4	6	2	2	4
OMENCOFM_01028	CP014529.1	1037108	1038025	-	918	6	16	16	12	18	22
OMENCOFM_01029	CP014529.1	1038227	1038664	+	438	14	8	16	19	34	28
OMENCOFM_01030	CP014529.1	1038722	1039270	+	549	3	8	6	24	9	7
OMENCOFM_01031	CP014529.1	1039385	1041745	+	2361	226	189	217	278	281	245
OMENCOFM_01032	CP014529.1	1041832	1042146	+	315	37	44	29	43	37	33
OMENCOFM_01033	CP014529.1	1042328	1044106	+	1779	24	42	56	58	38	30
OMENCOFM_01034	CP014529.1	1044251	1045150	+	900	69	56	50	46	44	38
OMENCOFM_01035	CP014529.1	1045143	1046405	+	1263	121	150	139	75	56	52
OMENCOFM_01036	CP014529.1	1046568	1048466	+	1899	21	52	34	41	37	33
OMENCOFM_01037	CP014529.1	1048765	1049484	-	720	16	21	26	17	27	17
OMENCOFM_01038	CP014529.1	1049830	1050153	+	324	18	40	29	37	43	36
OMENCOFM_01039	CP014529.1	1050140	1052143	+	2004	185	124	140	161	199	166
OMENCOFM_01040	CP014529.1	1052162	1052632	+	471	25	16	11	19	25	15
OMENCOFM_01041	CP014529.1	1052653	1053237	+	585	49	55	41	42	57	46
OMENCOFM_01042	CP014529.1	1053252	1054238	+	987	120	127	143	125	119	80
OMENCOFM_01043	CP014529.1	1054228	1054539	+	312	36	43	29	32	16	37
OMENCOFM_01044	CP014529.1	1054561	1056342	+	1782	150	243	199	179	190	175
OMENCOFM_01045	CP014529.1	1056335	1057711	+	1377	281	312	260	255	214	229
OMENCOFM_01046	CP014529.1	1057718	1058353	+	636	151	172	159	139	127	114
OMENCOFM_01047	CP014529.1	1058383	1059738	+	1356	102	125	90	156	130	92
OMENCOFM_01048	CP014529.1	1059930	1061324	-	1395	2	0	0	10	8	8
OMENCOFM_01049	CP014529.1	1061416	1062387	+	972	0	0	0	0	8	6
OMENCOFM_01050	CP014529.1	1062384	1063166	+	783	0	4	0	10	2	2
OMENCOFM_01051	CP014529.1	1063335	1063706	-	372	86	113	106	38	28	44
OMENCOFM_01052	CP014529.1	1063840	1064283	+	444	10	10	16	4	6	2
OMENCOFM_01053	CP014529.1	1064326	1065135	-	810	26	18	26	46	50	42
OMENCOFM_01054	CP014529.1	1065154	1066521	-	1368	35	32	16	52	35	34
